2;2008-09-06 08:09:52.330;35314;8;Yeah, I didn't believe it until I created a console app - but good lord!  Why would they give you the rope to hang yourself!  I hated that about VB.NET - the OrElse and AndAlso keywords!;3
4;2008-09-06 08:42:16.980;35195;0;I don't see an accepted answer now, I wonder how that got unaccepted. Incidentally, I would have marked an accepted answer based on the answers available at the time. Also, accepted doesn't mean Best :);380
9;2008-09-06 12:26:30.060;47239;0;Jonathan: Wow!  Thank you for all of that, you did an amazing amount of work!;4550
10;2008-09-06 13:38:23.647;45651;6;It will help if you give some details of which database you are using as techniques vary.;242
12;2008-09-06 13:51:47.843;47428;3;One of the things that make a url user-friendly is 'discover-ability', meaning you can take a guess at url's simply from the address bar. http://i.love.pets.com/search/cats+dogs could easily lead to http://i.love.pets.com/search/pug+puppies etc;4642
14;2008-09-06 14:15:46.897;47481;0;I agree, both CodeRush and RefactorPro are visually impressive (most of which can be turned off BTW), but for navigating and refactoring Resharper is much better in my opinion of using both products.;4642
15;2008-09-06 14:30:40.217;47373;0;Just wanted to mention that this is an excellent solution if you consider the problem to be linear (i.e. treating `A1B2` as a single number). I still think the problem is multi-dimensional, but I guess we'll just have to wait for the author to clarify :);2495
16;2008-09-06 14:42:35.303;47497;1;Indeed, the only way to do this is get the server to generate your CSS file which can be done in many ways depending on which language you are using. HttpHandlers are common in C#.  You could use jQuery or the likes to add styling to every element with the class 'ourColur' and parametrise your JS;4642
18;2008-09-06 15:02:40.980;47513;1;This advice goes against the spirit of CSS, which is separation of content and presentation. You way requires changing HTML for presentation sake, and stating in content which elements have same color.;2515
19;2008-09-06 15:11:11.227;47466;2;It was bad when people used table for everything (because CSS did not exist yet). Now, it the other way round sometimes. Someone would describe a table functionality and ask how to do it without a table, as if tables are inherently bad. Sigh.;2515
20;2008-09-06 15:44:39.477;1517;0;In the interests of tact, this is the kind of answer that should probably be made community wiki editable. Can someone with the right priveleges do that and add the Emacs bits?;199
21;2008-09-06 16:00:35.147;47527;1;The Digg link was the first one I came across when going down the main page. It's purely coincidental that it also so happens to exemplify how far Digg has fallen - a story about sex addiction has been posted three times.;658
22;2008-09-06 16:46:31.450;47626;0;concat infact doesn't do that.  I've edited my post with a decompilation of the concat method;292
25;2008-09-06 17:37:35.757;47626;8;infact it does. Look a the first lines of your concat code. The problem with concat is that it always generates a new String();4213
26;2008-09-06 19:15:41.277;47464;0;Yep. I have been thinking about that and will probably try it out in a later release. The only reservation I have is that the processing is far shorter than the I/O latency, so there may not be much benefit.;2353001
27;2008-09-06 19:25:04.703;47624;4;"""Currently + is implemented using StringBuffer"" False  It's StringBuilder.   StringBuffer is the threadsafe impl of StringBuilder.";4064
30;2008-09-06 20:14:30.777;36050;0;I am assuming that this will work *only* if the user has an MP3 player installed, correct?;4906
31;2008-09-06 20:21:55.457;47777;11;That code will fail as .Distinct() returns an IEnumerable<T>. You have to add .ToList() to it.;3394
33;2008-09-06 20:33:10.610;47513;0;Bloats the HTML & complicates application of styles.  E.g.,  <H1.PageTitle>  This is the title of the page</H1> I want to have ALL the style for PageTitle in the CSS. With the method proposed, I'd need to wrap the above html in <span.a=theme-color> which doubles the CSS code a;4906
41;2008-09-06 22:32:45.003;47885;12;I don't think that's the magic number he was refering to;4213
44;2008-09-06 22:42:13.623;47885;4;"Maybe you should remove the ""file-format"" and ""networking"" tags you added because he's clearly not talking about those kinds of magic numbers.";1597
48;2008-09-06 23:00:58.880;47895;0;Can you be more specific on why eliminating maginc numbers ISN'T alway good?;4213
52;2008-09-06 23:18:15.580;47937;1;Thanks! That's what I was looking for. For those wondering where to get the Profiler from the video:  http://www.codeplex.com/aspnet/Release/ProjectReleases.aspx?ReleaseId=13356;91
59;2008-09-07 00:13:43.713;47885;8;It's still very useful to know that magic numbers may refer to more than simply a code issue.  -Adam;2915
61;2008-09-07 00:18:11.643;47960;2;You're really going to have to be more specific...  Are you looking for websites that contain web snippets and tutorials? Code snippets themselves on a particular topic? This is a very, very general question.;2658
